model,prompt,eng,fra,eng ms,fra ms,aeb,afr,aka,amh,ary,arz,bam,bem,cjk,dik,dyu,ewe,fon,fuv,gaz,hau,ibo,kab,kam,kea,kbp,kik,kin,kmb,knc,kon,lin,lua,lug,luo,mos,nso,nus,nya,plt,por,run,sag,sot,sna,som,ssw,swa,tir,tso,tum,twi,tzm,umb,wol,xho,yor,zul,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
Meta-Llama-3-8B-Instruct,prompt_1,16.37,10,42.3,32.9,10,10,10,10,10.99,10.99,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11.7,20.3,16.2,4.0,15.3,16.3,31.8,23.9,4.6,24.5,37.4,14.0,24.9,14.6,11.8
Meta-Llama-3-8B-Instruct,prompt_2,77.92,77.56,41.8,50.5,63.91,53.09,39.46,11.92,67.27,68.82,33.48,37.1,30.26,30.75,30.38,28.48,21.58,30.66,21.53,46.87,43.32,20.79,33.17,55.13,22.82,38.04,45.72,29.66,31.55,42.11,44.78,34.85,34.19,30.63,34.59,36.07,24.54,39.9,18.52,79.04,42.36,35.03,38.78,42.73,44.22,39.99,66.28,11.92,32.83,37.8,38.8,10,30.25,43.36,33.35,30.54,40.03,0.0,48.7,22.3,53.7,41.7,12.3,42.6,34.5,36.9,25.5,43.7,6.6,34.3,20.0,35.8
Meta-Llama-3-8B-Instruct,prompt_3,77.87,74.54,68.8,75.8,58.7,70.31,32.89,27.82,63.1,63.78,23.61,23.86,20.92,23.4,17.61,30.6,26.52,23.66,13.57,53.7,36.04,14.81,25,49.04,22.58,23.41,47.93,19.45,15.45,33.15,31.75,25.13,24.72,30.54,22.53,17.5,16.34,26.91,15.62,76.22,19.81,30.92,24.6,32.73,29.87,17.17,66.79,14.71,23.82,27.02,47.1,10.07,18.44,44.65,33.71,24.84,25.98,55.6,60.0,63.1,66.9,57.4,59.7,63.9,66.8,66.1,58.8,71.9,38.6,49.2,61.6,37.0
Meta-Llama-3-8B-Instruct,prompt_4,45.13,37.15,60.3,58.5,31.04,29.67,20.17,12,30.67,34.19,14.69,10.66,14.21,18.63,13.82,23.51,15.51,14.34,11.81,18.78,16.18,12.77,14.03,27.82,13.95,17.59,13.86,12.54,15.36,12.47,15.84,17.67,13.4,14.5,13.61,12.1,14.58,10.98,13.13,37.63,11.1,13.46,11.69,14.42,16.75,12.65,21.88,10.99,11.74,13.31,20.19,11.45,13.62,17.94,12.09,11.93,16.23,25.0,47.3,45.9,44.0,46.2,38.8,61.6,47.5,38.5,35.4,48.1,17.3,46.5,53.5,22.0
Meta-Llama-3-8B-Instruct,prompt_5,19.58,11.89,66.7,72.5,10,10,10,10,10,10,10,10,10,10,10,10.98,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11.89,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30.3,36.3,45.6,32.6,28.3,45.2,53.4,53.7,30.4,40.5,58.6,32.0,39.7,40.4,16.4
aya-101,prompt_1,80.66,82.26,87.1,80.8,82.54,83.68,67.96,79.58,80.8,83.35,53.1,66.5,47.62,38.79,51.19,56.99,39.68,50.86,68.11,81.6,78.64,26.22,48.72,83.55,41.68,55.93,77.82,49.76,53.78,62.47,67.09,56.39,59.81,53.9,43.23,80.57,37.21,80.61,84.03,82.43,80.09,59.69,81.41,80.12,80.71,74.79,79.84,78.29,68.65,73.61,71.89,21.06,45.17,57.59,80.76,71.65,80.84,88.3,82.6,79.0,83.4,84.8,89.2,95.4,92.9,79.1,70.8,79.4,81.6,94.6,93.9,69.2
aya-101,prompt_2,80.85,82.99,87.3,82.7,81.8,81.83,69.5,82.18,81.54,83.35,55.93,68.44,49.55,41.9,50.83,57.62,43.73,52.28,66.06,81.42,77.87,24.25,50.66,82.45,47.48,58.37,79.78,49.45,52.72,67,70.87,60.07,62.8,56.92,49.03,82.05,39.61,78.93,83.83,82.31,78.44,59.19,80.39,79.89,81.52,75.97,81.58,77.67,67.28,76.31,71.61,27.59,47.88,59.67,81.98,76.29,82.91,88.0,81.6,80.0,83.4,84.8,88.9,96.1,92.6,78.9,74.5,80.7,82.0,93.6,94.2,70.3
aya-101,prompt_3,82.13,80.97,86.0,76.5,76.79,79.7,66.62,75.97,76.2,76.8,51.62,63.48,45.13,38.82,48.85,55.93,43.41,49.23,64.68,79.98,78.92,26.44,49.33,77.64,47.08,54.85,77.98,47.37,52.36,61.1,67.48,55.94,57.75,54.54,44.5,78.94,35.99,77.82,77.46,79.81,73.61,56.78,79.57,79.94,80.46,71.4,78.08,74.07,65.55,69.19,72.34,25.43,42.55,55.67,76.99,71.29,82.57,87.8,81.6,80.0,82.9,83.0,91.1,94.4,92.9,76.2,70.4,79.8,80.2,94.3,94.4,67.8
aya-101,prompt_4,82.82,81.4,78.1,69.7,79.46,82.96,72.28,79.66,82.88,83.59,54.32,67.07,49.92,45.37,53.74,54.23,45.81,50.83,67.52,82.8,82.05,35.82,55.71,81.26,51.82,61.31,79.18,55.36,56.55,66.3,69.68,56.71,62.89,57.7,48.23,80.23,41.62,81.54,85.34,83.61,78.6,57.9,80.6,82.39,81.99,76.73,79.91,79.03,70.23,74.14,70.49,26.52,49.81,58.3,80.49,76.54,80.76,78.5,78.8,71.5,81.1,79.4,91.1,91.5,91.0,68.8,70.4,73.3,78.3,91.9,93.9,70.0
aya-101,prompt_5,77.54,76.17,86.1,77.5,77.05,76.92,68.18,75.69,74.05,76.4,52.5,62.67,46.38,43.03,48.41,54.98,40.19,50.12,64.15,78.72,75.03,28.96,49.07,75.32,43.21,56.09,77.27,50.97,52.28,63.32,67.49,54.6,61.02,52.54,42.64,76.91,32.33,79.99,80.16,76.63,73.93,54.59,77.12,76.78,77.5,71.96,76.41,72.64,62.4,69.94,70.59,25.38,46.22,57.48,75.45,73.48,75.1,88.8,83.2,78.5,85.1,84.3,88.0,96.7,94.7,78.6,71.4,80.0,80.2,95.3,93.2,67.5
gemma-1.1-7b-it,prompt_1,74.08,65.71,25.3,12.6,69.04,68.19,41.26,18.06,65.63,65.21,34.8,41.9,33.81,35.44,33.77,35.55,30,38.39,30.1,38.49,42.01,23.41,36.8,61.05,32.16,43.22,33.23,35.13,43.64,39.64,38.51,35.63,31.73,37.61,37.18,36.02,27.09,44.24,40.63,69.2,32.81,34.97,38.29,38.48,36.46,31.87,54.53,13.65,35.69,40.47,41.1,13.66,33.99,44.05,40.91,32.28,37.09,1.9,15.9,6.2,4.0,4.5,4.6,5.3,3.1,3.3,8.8,9.0,7.4,3.7,4.1,32.1
gemma-1.1-7b-it,prompt_2,81.05,78.77,68.1,64.2,64.54,67.02,39.48,18.61,62.68,66.79,29.97,42.22,32.74,34.08,31.18,28.36,24.53,39.29,30.32,46.74,40.02,16.12,37.8,62.05,30.15,41.71,35.92,30.92,34.64,41.15,40.7,42.05,35.87,34.35,38.57,41.94,26.27,44.36,42.47,76.15,33.33,36.28,41.7,35.92,34.55,34.81,59.87,12.8,33.68,41.25,39.04,2.54,35.31,44.47,46.83,28.18,42.43,28.5,71.1,69.0,79.4,61.4,75.4,86.9,86.3,71.8,68.4,72.5,34.2,81.5,84.4,45.2
gemma-1.1-7b-it,prompt_3,86.28,73.35,71.4,38.9,33.23,52.49,28.21,13.88,32.26,43.15,20.5,24.28,25,17.49,23.13,19.45,17.14,16.12,15.75,31.33,28.82,11.89,25.76,33.12,21,21.46,25.28,18.68,22.33,24.82,24.48,26.78,23.48,29.58,20.54,24.81,15.16,28.89,25.64,65.32,24.73,23.45,22.58,27.75,29.84,30.07,43.82,12.07,26.62,22.68,27.29,10,17.37,26.72,27.4,25.32,24.79,10.1,40.2,20.8,17.1,4.5,20.6,51.2,33.2,25.2,27.9,26.9,9.6,24.9,41.4,25.5
gemma-1.1-7b-it,prompt_4,75.74,74.41,69.9,50.0,71.73,75.24,42.26,23.06,71.88,71.91,37.72,44.17,37.36,37.97,44.97,36.62,27.57,43.61,33.31,46.14,48.81,24.39,43.06,69.56,34.7,42.03,38.73,33.65,44.59,46.62,43.53,43.63,38.66,40.93,38.29,39.99,29.11,46.61,49.4,74.33,35.51,41.09,44.56,38.2,39.53,36.36,57.04,15.47,38.56,40.84,40.95,13.41,30.96,51.05,50.62,33.45,41.19,32.7,59.7,52.3,70.3,57.9,45.9,80.0,58.1,48.0,50.0,54.2,24.6,70.4,66.4,45.3
